id,name,group,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,solubleFiber_g,insolubleFiber_g,starch_g,sugar_g,saturatedFat_g,monounsaturatedFat_g,polyunsaturatedFat_g,transFat_g,cholesterol_mg,omega3_g,ala_mg,epa_mg,dha_mg,omega6_g,la_g,aa_g,histidine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,cystine_g,phenylalanine_g,tyrosine_g,threonine_g,tryptophan_g,valine_g,arginine_g,alanine_g,asparticAcid_g,glutamicAcid_g,glycine_g,proline_g,serine_g,thiamin_mg,riboflavin_mg,niacin_mg,pantothenicAcid_mg,vitaminB6_mg,vitaminB12_ug,folate_ug,biotin_ug,choline_mg,vitaminA_ug,vitaminC_mg,vitaminD_ug,vitaminE_mg,vitaminK_ug,calcium_mg,copper_mg,iron_mg,magnesium_mg,manganese_mg,phosphorus_mg,potassium_mg,selenium_ug,sodium_mg,zinc_mg
169831,"APPLEBEE'S, 9 oz house sirloin steak",Restaurant Foods,189.0,26.85,9.08,0.0,0,0,0,0,0.0,3.477,4.35,0.532,0.314,79.0,0.043,24.0,5.0,1.0,0.458,0.399,0.056,0.976,1.334,2.263,2.332,0.648,0.3,1.121,0.984,1.257,0.356,1.392,1.875,1.594,2.54,4.323,1.245,1.175,1.01,0.05,0.287,4.903,0.345,0.575,2.0,0,0,0,7.0,0,0,0.37,0,16.0,0.076,2.07,24.0,0.014,202.0,350.0,24.7,604.0,5.35
169008,"APPLEBEE'S, Double Crunch Shrimp",Restaurant Foods,323.0,12.31,18.9,25.96,2.6,0,0,22.8,1.07,3.366,4.235,9.682,0.147,86.0,1.045,977.0,34.0,30.0,8.635,8.505,0.03,0.263,0.526,0.959,0.829,0.282,0.167,0.55,0.415,0.447,0.139,0.548,0.894,0.622,1.075,2.68,0.582,0.792,0.486,0.09,0.089,0.9,0.34,0.055,0.43,14.0,0,50.1,2.0,0,0,1.97,29.1,45.0,0.14,1.03,23.0,0.281,271.0,97.0,26.6,838.0,0.78
169010,"APPLEBEE'S, KRAFT, Macaroni & Cheese, from kid's menu",Restaurant Foods,143.0,5.01,4.34,21.08,1.3,0,0,14.77,3.7,1.312,1.951,0.952,0.071,7.0,0.219,219.0,0.0,0.0,0.733,0.714,0.007,0.136,0.273,0.473,0.189,0.115,0.095,0.273,0.168,0.147,0.063,0.326,0.21,0.179,0.347,1.597,0.147,0.809,0.21,0.103,0.283,0.97,0.55,0.065,0.24,0,0,0,18.0,0,0,0.52,0,79.0,0.061,0.84,22.0,0.254,104.0,163.0,23.1,288.0,0.57
169841,"APPLEBEE'S, chicken tenders platter",Restaurant Foods,297.0,19.62,16.24,17.98,1.0,0,0,17.03,0.36,2.849,4.385,7.042,0.12,52.0,0.009,0.0,1.0,4.0,7.011,6.893,0.047,0.712,1.015,1.622,1.476,0.523,0.272,0.816,0.523,0.638,0.22,1.109,1.214,1.12,1.727,3.464,0.858,0.973,0.586,0.103,0.183,7.847,1.67,0.506,0.14,0,0,0,9.0,0,0,1.45,0,23.0,0.069,0.9,30.0,0.258,298.0,336.0,16.8,740.0,0.71
169012,"APPLEBEE'S, chicken tenders, from kids' menu",Restaurant Foods,296.0,19.25,16.15,18.36,1.2,0,0,16.97,0.39,2.852,3.568,7.894,0.116,51.0,0.868,859.0,0.0,4.0,6.999,6.88,0.051,0.679,0.952,1.52,1.348,0.486,0.233,0.76,0.507,0.577,0.203,1.054,1.135,1.043,1.651,3.343,0.79,1.175,0.577,0.1,0.177,7.89,1.565,0.484,0.15,0,0,0,10.0,0,0,1.28,25.1,23.0,0.071,0.9,30.0,0.26,305.0,337.0,16.9,763.0,0.71
169018,"APPLEBEE'S, chili",Restaurant Foods,157.0,12.56,9.79,4.57,1.4,0,0,0.43,2.27,4.15,4.809,0.644,0.576,45.0,0.045,36.0,2.0,0.0,0.576,0.542,0.028,0.371,0.556,0.927,0.844,0.278,0.123,0.474,0.34,0.402,0.144,0.639,0.772,0.793,1.195,2.07,0.834,0.855,0.371,0.037,0.207,3.557,0.405,0.321,1.26,0,0,0,149.0,1.1,0,1.15,0,34.0,0.086,1.46,18.0,0.084,104.0,320.0,13.1,381.0,2.23
169020,"APPLEBEE'S, coleslaw",Restaurant Foods,120.0,0.79,7.09,13.17,2.8,0,0,0,9.33,1.061,1.404,3.819,0.037,2.0,0.458,458.0,0.0,0.0,3.361,3.327,0.004,0.008,0.025,0.034,0.017,0.008,0.008,0.017,0.008,0.017,0.006,0.034,0.059,0.034,0.068,0.127,0.017,0.006,0.017,0.03,0.063,0.3,0.205,0.129,0,0,0,0,77.0,13.7,0,0.5,65.1,36.0,0.017,0.26,10.0,0.148,23.0,156.0,0.4,178.0,0.19
169840,"APPLEBEE'S, crunchy onion rings",Restaurant Foods,356.0,4.58,19.61,40.17,3.1,0,0,32.53,4.48,3.574,4.408,10.255,0.139,0,1.178,1178.0,0.0,0.0,9.073,8.983,0.008,0.094,0.157,0.293,0.063,0.063,0.115,0.199,0.094,0.084,0.042,0.189,0.21,0.136,0.22,1.351,0.157,0.576,0.136,0.107,0.091,0.73,0.405,0.077,0,0,0,0,0.0,0,0,1.27,41.1,22.0,0.087,0.67,17.0,0.486,90.0,135.0,6.0,833.0,0.43
169017,"APPLEBEE'S, fish, hand battered",Restaurant Foods,202.0,13.23,9.14,16.65,0.9,0,0,15.8,0.51,1.613,2.014,4.559,0.077,34.0,0.644,482.0,50.0,107.0,3.91,3.856,0.013,0.333,0.693,1.152,1.197,0.414,0.162,0.54,0.414,0.432,0.144,0.765,0.846,0.81,1.323,2.241,0.666,0.693,0.432,0.053,0.093,2.29,0.4,0.201,1.23,0,0,0,3.0,0,0,0.88,0,13.0,0.039,0.35,20.0,0.097,234.0,241.0,17.8,607.0,0.34
169009,"APPLEBEE'S, french fries",Restaurant Foods,290.0,3.31,13.17,39.5,3.9,0,0,35.47,0.0,2.333,3.31,5.802,0.083,1.0,0.729,728.0,1.0,0.0,5.072,5.018,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0.058,2.18,0.495,0.205,0,0,0,0,0.0,0.7,0,0.93,33.4,19.0,0.109,1.01,29.0,0.268,137.0,538.0,0.4,618.0,0.49
