id,name,group,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,solubleFiber_g,insolubleFiber_g,starch_g,sugar_g,saturatedFat_g,monounsaturatedFat_g,polyunsaturatedFat_g,transFat_g,cholesterol_mg,omega3_g,ala_mg,epa_mg,dha_mg,omega6_g,la_g,aa_g,histidine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,cystine_g,phenylalanine_g,tyrosine_g,threonine_g,tryptophan_g,valine_g,arginine_g,alanine_g,asparticAcid_g,glutamicAcid_g,glycine_g,proline_g,serine_g,thiamin_mg,riboflavin_mg,niacin_mg,pantothenicAcid_mg,vitaminB6_mg,vitaminB12_ug,folate_ug,biotin_ug,choline_mg,vitaminA_ug,vitaminC_mg,vitaminD_ug,vitaminE_mg,vitaminK_ug,calcium_mg,copper_mg,iron_mg,magnesium_mg,manganese_mg,phosphorus_mg,potassium_mg,selenium_ug,sodium_mg,zinc_mg,Column 1
990000017,Terrasoul Brown Rice Protein,Suppliments,300,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,4.1,8.7,3.7,2.7,1.8,5.5,5.6,3.7,1.1,5.5,8.3,5.8,8.5,18.64,4.14,4.88,5.1,,,,,,,,,,,,,,,40,,6,,,,,,,,
900000012,"Tropical Blend, pine, mango, straw, papaya",Fruits and Fruit Juices,50,0.7,0.36,12.86,1.43,0,0,0,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,14.29,0,0.36,0,0,0,142.86,0,0,0,
900000011,clover sprouts,Vegetables and Vegetable Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
900000010,"farrow, dry",Cereal Grains and Pasta,327,12.61,1.54,71.18,12.2,2.02,10.18,58.57,0.41,0.27,0.2,0.63,0,0,0.03,0.03,0,0,0.6,0.6,0,0.29,0.46,0.85,0.34,0.2,0.32,0.59,0.39,0.37,0.16,0.56,0.6,0.45,0.64,4,0.53,1.29,0.59,0.38,0.12,5.46,0.95,0.3,0,38,0,31.2,0.42,0,0,1.01,1.9,29,0.42,3.19,126,3.99,288,363,70.7,2,2.65,
900000008,Graintastic Sandwich Bread,Cereal Grains and Pasta,244,13.33,2.22,49,11.11,0,0,0,6.67,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,2.22,0,0,0,244,0,255,0,
900000007,"Soy milk A, D, E, Calcium",Legumes and Legume Products,38,3.5,2.1,1.3,0,0,0,0,0,0.31,0,0,0,0,0,0.166,0,0,0,0,0,0.098,0.145,0.249,0.221,0.046,0,0.175,0.124,0.128,0.046,0.142,0,0,0,0,0,0,0,0.06,0.08,0.24,0,0.06,0.39,19.7,3.3,0,58.2,0,0.68,0.16,0,101,0.11,0.54,21.5,0.21,68.7,158,1.9,34.3,0.31,
900000006,Nutritional Yeast,Suppliments,400,50,0,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,2.24,3.55,3.99,0.73,0,2.1,0,2.42,0.59,2.73,0,0,0,0,0,0,0,62,63,350,0,72,151,3600,0,0,0,0,0,0,0,0,0,10,0,0,0,2140,0,200,0,
900000005,"Pea Protein Powder, Solo Organic (unflavored)",Suppliments,402.86,85.71,7.71,2.57,2.29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.97,3.77,6.94,5.91,0.86,1.11,4.37,3.17,3.09,0.77,4.03,7.46,3.6,9.69,14.23,3.34,3.51,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668.57,0,28.29,0,0,0,374.29,0,208.57,0,
900000004,"Cherry Berry Blend, cherries, blue, straw",Fruits and Fruit Juices,50,0.7,0.4,12.1,2.1,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,14,0,0.43,0,0,0,136,0,0,0,
900000003,"B12, 850mcg",Suppliments,10,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
